timestamp,share_history_count,login_history_count,browsing_history_count,like_list_count,favorite_sounds_count,favorite_videos_count,temperature,precipitation,weather_code,weather_description,hour,day_of_week,is_weekend,total_activity
2023-05-14 18:00:00,0.0,0.0,0.0,0.0,0.0,1.0,16.6,0.0,3,Overcast,18,Sunday,True,1.0
2023-05-15 10:00:00,0.0,0.0,0.0,0.0,0.0,1.0,19.9,0.0,3,Overcast,10,Monday,False,1.0
2023-05-15 11:00:00,0.0,0.0,0.0,0.0,0.0,4.0,21.8,0.0,3,Overcast,11,Monday,False,4.0
2023-05-17 08:00:00,0.0,0.0,0.0,0.0,0.0,1.0,15.4,0.0,3,Overcast,8,Wednesday,False,1.0
2023-05-17 12:00:00,0.0,0.0,0.0,0.0,0.0,1.0,17.8,0.0,3,Overcast,12,Wednesday,False,1.0
2023-05-18 10:00:00,0.0,0.0,0.0,0.0,0.0,1.0,15.4,0.3,51,Drizzle,10,Thursday,False,1.0
2023-05-18 12:00:00,0.0,0.0,0.0,0.0,0.0,2.0,16.4,1.1,55,Heavy rain,12,Thursday,False,2.0
2023-05-19 09:00:00,0.0,0.0,0.0,0.0,0.0,4.0,15.1,0.2,51,Drizzle,9,Friday,False,4.0
2023-05-19 10:00:00,0.0,0.0,0.0,0.0,0.0,3.0,15.8,0.2,51,Drizzle,10,Friday,False,3.0
2023-05-19 11:00:00,0.0,0.0,0.0,0.0,0.0,3.0,16.7,0.1,51,Drizzle,11,Friday,False,3.0
2023-05-19 13:00:00,0.0,0.0,0.0,0.0,0.0,1.0,16.5,0.2,51,Drizzle,13,Friday,False,1.0
2023-05-19 20:00:00,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,3,Overcast,20,Friday,False,1.0
2023-05-19 23:00:00,0.0,0.0,0.0,0.0,0.0,5.0,14.2,0.0,3,Overcast,23,Friday,False,5.0
2023-05-20 08:00:00,0.0,0.0,0.0,0.0,0.0,2.0,15.6,0.0,3,Overcast,8,Saturday,True,2.0
2023-05-20 14:00:00,0.0,0.0,0.0,0.0,0.0,1.0,17.5,0.0,1,Mainly clear,14,Saturday,True,1.0
2023-05-20 15:00:00,0.0,0.0,0.0,0.0,0.0,6.0,19.2,0.0,1,Mainly clear,15,Saturday,True,6.0
2023-05-20 16:00:00,0.0,0.0,0.0,0.0,0.0,1.0,18.5,0.0,3,Overcast,16,Saturday,True,1.0
2023-05-20 17:00:00,0.0,0.0,0.0,0.0,0.0,1.0,17.8,0.0,2,Partly cloudy,17,Saturday,True,1.0
2023-05-20 18:00:00,0.0,0.0,0.0,0.0,0.0,2.0,17.9,0.0,0,Clear sky,18,Saturday,True,2.0
2023-05-20 23:00:00,0.0,0.0,0.0,0.0,0.0,1.0,13.8,0.0,1,Mainly clear,23,Saturday,True,1.0
2023-05-22 09:00:00,0.0,0.0,0.0,0.0,0.0,2.0,16.9,0.0,3,Overcast,9,Monday,False,2.0
2023-05-22 13:00:00,0.0,0.0,0.0,0.0,0.0,1.0,19.4,0.0,1,Mainly clear,13,Monday,False,1.0
2023-05-22 17:00:00,0.0,0.0,0.0,0.0,0.0,3.0,19.6,0.0,1,Mainly clear,17,Monday,False,3.0
2023-05-24 06:00:00,0.0,0.0,0.0,0.0,0.0,7.0,13.7,0.0,3,Overcast,6,Wednesday,False,7.0
2023-05-25 13:00:00,0.0,0.0,0.0,0.0,0.0,2.0,20.9,0.0,2,Partly cloudy,13,Thursday,False,2.0
2023-05-25 14:00:00,0.0,0.0,0.0,0.0,0.0,3.0,21.5,0.0,1,Mainly clear,14,Thursday,False,3.0
2023-05-26 06:00:00,0.0,0.0,0.0,0.0,0.0,1.0,13.9,0.0,3,Overcast,6,Friday,False,1.0
2023-05-27 07:00:00,0.0,0.0,0.0,0.0,0.0,1.0,16.2,0.0,3,Overcast,7,Saturday,True,1.0
2023-05-27 08:00:00,0.0,0.0,0.0,0.0,0.0,1.0,17.2,0.0,3,Overcast,8,Saturday,True,1.0
2023-05-27 12:00:00,0.0,0.0,0.0,0.0,0.0,1.0,21.5,0.0,1,Mainly clear,12,Saturday,True,1.0
2023-05-27 17:00:00,0.0,0.0,0.0,0.0,0.0,2.0,19.3,0.0,3,Overcast,17,Saturday,True,2.0
2023-05-28 07:00:00,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,3,Overcast,7,Sunday,True,1.0
